posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-07 06:51:00, (St. Paul),Updated Wilder Park 1 Bedroom 1 Bath 15th Floor Condo,1.0,730.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-updated-wilder-park-1/7136102791.html,1145,St. Paul,,Highland Village,55105,2,4,3
2020-06-07 06:50:00, (Eden Prairie),Spacious 3 Bedroom 1.5 Bath End Unit Townhome in Eden Prairie,3.0,1600.0,https://minneapolis.craigslist.org/hnp/apa/d/eden-prairie-spacious-3-bedroom-15-bath/7137344327.html,1895,Eden Prairie,,Eden Prairie,55347,9,2,1
2020-06-07 05:40:00," (Excelsior, Lake Minnetonka, Minnetonka, Western Suburbs)","Historic Excelsior, next to Lake & Downtown",2.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/excelsior-historic-excelsior-next-to/7136166794.html,1090,Excelsior,,Excelsior,55331,1,4,3
2020-06-07 05:17:00, (St. Paul),Sunny 1BR corner unit updated with plenty of fantastic features!,1.0,636.0,https://minneapolis.craigslist.org/hnp/apa/d/saint-paul-sunny-1br-corner-unit/7131033933.html,1150,St. Paul,,St. Paul,55101,1,2,1
2020-06-07 04:50:00," (5417 44th Ave S Minneapolis, MN)",Gorgeous & Quaint 3 bedroom home in a great location!!updated kitchen,3.0,1176.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-gorgeous-quaint-3-bedroom/7137322333.html,950,Minneapolis,,Wenonah,55417,1,,
2020-06-07 03:39:00," (5913 Penn Ave S, Minneapolis, MN)",Remodeled Downtown Minneapolis 2BR - Open House Sunday 1pm to 1:30pm,2.0,745.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-remodeled-downtown/7137322941.html,800,Minneapolis,,Windom,55419,6,2,1
2020-06-07 03:28:00, (Marcy Holmes),Pre - Leasing for Fall 2020 - Newly Renovated 1 & 2 Bedrooms Homes!,1.0,505.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-pre-leasing-for-fall-newly/7123555165.html,1295,Minneapolis,,Marcy-Holmes,55414,1,4,1
2020-06-07 02:22:00, (St. Paul),"2 BR+office, Highland Park",2.0,,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-2-broffice-highland-park/7137316105.html,995,St. Paul,,Highland Village,55116,1,3,3
2020-06-07 00:24:00, (Minneapolis),River Towers: 16th Floor Avail. 7/1 *River Views +Amenities*,1.0,800.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-river-towers-16th-floor/7132057241.html,1500,Minneapolis,,St Anthony West,55401,1,2,3
2020-06-07 00:13:00, (Woodbury),Nice and Spacious Townhouse for Rent,3.0,1720.0,https://minneapolis.craigslist.org/wsh/apa/d/saint-paul-nice-and-spacious-townhouse/7132723645.html,1750,Woodbury,,Woodbury,55125,9,2,1
2020-06-06 23:51:00, (Minneapolis),The quad on Delaware,1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-the-quad-on-delaware/7137289882.html,740,Minneapolis,,Prospect Park - East River Road,55414,1,2,1
2020-06-06 23:32:00, (Elliot Park),TRIPLEX in Elliot Park 1BR+Den AVAILABLE AUGUST 1,1.0,850.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-triplex-in-elliot-park/7137293762.html,795,Minneapolis,,Phillips West,55404,4,4,3
2020-06-06 23:12:00," (Northeast Minneapolis, MN)",Virtually here for all your leasing needs!,2.0,1098.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-virtually-here-for-all-your/7123089710.html,1842,Minneapolis,,St Anthony East,55413,1,2,1
2020-06-06 22:54:00," (Minneapolis, MN)",Great location that is close to everything!,3.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-great-location-that-is/7137285988.html,1000,Edina,Edina,Fulton,55424,6,2,1
