posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-11 00:51:00, (14th & U),Virtual Open House Today @ 12:30 Win a Prize + 1 Month FREE!,1.0,482.0,https://washingtondc.craigslist.org/doc/apa/d/washington-virtual-open-house-today-win/7136853064.html,1999,Washington,,Cardozo/Shaw,20010,,,
2020-06-11 00:50:00, (Washington DC),Beautiful 1.5 B_D_R_M located !!!,1.0,,https://washingtondc.craigslist.org/mld/apa/d/washington-beautiful-15-bdrm-located/7126069957.html,573,Washington,,Washington,,1,2,
2020-06-11 00:44:00," (Hyattsville, Chillum)","Cable or satellite, Beautifully landscaped grounds, Carpet",2.0,947.0,https://washingtondc.craigslist.org/nva/apa/d/hyattsville-cable-or-satellite/7132278123.html,1425,Hyattsville,,Kirkwood,20782,1,,
2020-06-11 00:43:00," (Camp Spring, Morningside)",Beautiful Spacious 2 Bedroom with Den on the Ground Level,2.0,905.0,https://washingtondc.craigslist.org/doc/apa/d/suitland-beautiful-spacious-2-bedroom/7137113789.html,1510,,,Suitland Manor,20746,1,,
2020-06-11 00:33:00, (arlington va),On top fl -rent includes utilities & parking & storage space,1.0,813.0,https://washingtondc.craigslist.org/nva/apa/d/on-top-fl-rent-includes-utilities/7139661515.html,1800,,,Barcroft,22217,1,,3
2020-06-11 00:29:00, (Chevy Chase),Spacious and light filled 2 bdr - newly painted and ready!,2.0,1100.0,https://washingtondc.craigslist.org/doc/apa/d/washington-spacious-and-light-filled-2/7133754046.html,2299,,,Chevy Chase,20015,1,,
2020-06-11 00:29:00," (Alexandria, VA)","4425 Neptune Dr, Alexandria, VA 22309",4.0,2196.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-4425-neptune-dr-alexandria/7126601124.html,1550,,,Mount Vernon Manor,22309,6,,
2020-06-11 00:27:00, (Arlington),"Spacious 2br Unit, Where the City Is Your Backyard!",2.0,910.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-spacious-2br-unit-where-the/7138243934.html,1847,,,,22209,,,
2020-06-11 00:27:00, (Temple Hills),2 bedroom 2 bathroom ground floor ( ask for Adrian ),2.0,1088.0,https://washingtondc.craigslist.org/mld/apa/d/temple-hills-2-bedroom-2-bathroom/7135051157.html,1819,,,Deer Park Heights,20748,1,,4
2020-06-11 00:10:00," (College Park, Greenbelt, New Carrolton)",DO YOU NEED HELP GETTING APPROVED FOR A LEASE?,1.0,650.0,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-do-you-need-help-getting/7131313613.html,1605,Greenbelt,,Greenbelt,20770,1,,
2020-06-11 00:08:00, (Mclean),"Quiet tranquility, mid-century modern home in Franklin Park",4.0,2700.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-quiet-tranquility-mid-century/7139655708.html,3900,,,,22101,6,2,1
2020-06-11 00:08:00, (Evolution at Towne Centre in Laurel),"Housekeeping, Skylight, Granite Countertops",1.0,751.0,https://washingtondc.craigslist.org/mld/apa/d/laurel-housekeeping-skylight-granite/7134455086.html,1630,Laurel,,Stonewood,20707,1,2,1
2020-06-11 00:08:00," (Laurel, Ft. Meade, Savage, Russet)","Fully equipped kitchens, Most utilities included, Patio/balcony",1.0,899.0,https://washingtondc.craigslist.org/mld/apa/d/laurel-fully-equipped-kitchens-most/7124544844.html,1380,,,Pines of Laurel,20724,1,,
2020-06-11 00:05:00," (Camp Spring, Morningside)",Three bedroom Unit with a lot of space,3.0,1130.0,https://washingtondc.craigslist.org/doc/apa/d/suitland-three-bedroom-unit-with-lot-of/7129268433.html,1605,,,Suitland Manor,20746,1,,
2020-06-11 00:00:00, (Laurel),"STUNNING, VAULTED CEILING, 2 BR/2 BATH CONDO",2.0,1000.0,https://washingtondc.craigslist.org/mld/apa/d/laurel-stunning-vaulted-ceiling-2-br-2/7135037399.html,1675,Laurel,,Stonewood,20707,2,4,1
2020-06-10 23:56:00," (Fairfax, Kings Park West)","4 br, 3.5 ba Townhouse in Fairfax - Walk to GMU!",4.0,2200.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-4-br-35-ba-townhouse-in-fairfax/7139652717.html,2850,Kings Park West,Kings Park West,Colony Park,22032,9,5,1
2020-06-10 23:55:00," (Hyattsville, College Park, Takoma Park)","Large Closets, Close to Schools, Laundry Center, Balcony",1.0,693.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-large-closets-close-to/7137118767.html,1385,,,,20782,1,4,3
2020-06-10 23:52:00," (Oxon Hills, Temple Hills, Suitland)","""Spacious Living and Dining Rooms, Controlled access/gated community""",1.0,697.0,https://washingtondc.craigslist.org/doc/apa/d/oxon-hill-spacious-living-and-dining/7138070192.html,1089,Forest Heights,Forest Heights,Forest Heights,20745,1,,
2020-06-10 23:52:00," (DON'T MISS OUT! Located 20 min from DC, Pet Friendly)",Renovated 2 bedroom Available in the summer!,2.0,926.0,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-renovated-2-bedroom-available/7134773700.html,1775,Greenbelt,,Greenbelt,20770,1,,1
