posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-07 16:44:00, (Cottage Grove),Great Townhome 2bd 2car 1.75bath huge loft availble,2.0,1650.0,https://minneapolis.craigslist.org/wsh/apa/d/newport-great-townhome-2bd-2car-175bath/7137652079.html,1600,Cottage Grove,,Cottage Grove,55016,9,2,1
2020-06-07 16:44:00," (Hwy 7, St. Louis Park)","SPECIAL!! Great for Roommates, Kitchen Island, Close to West End!",2.0,1125.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-special-great-for-roommates/7137651958.html,1600,Saint Louis Park,,Birchwood,55437,1,2,1
2020-06-07 16:44:00, (Eagan),"We’ve found your next 1 bedroom apartment, and it’s AMAZING!",1.0,850.0,https://minneapolis.craigslist.org/dak/apa/d/saint-paul-weve-found-your-next-1/7137651809.html,1245,Eagan,,Eagan,55123-1063,1,,3
2020-06-07 16:43:00," (Hwy 7, St. Louis Park)","Kitchen Island, Impressive Amenities, Close to West End & Uptown!",2.0,1170.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-kitchen-island-impressive/7137651438.html,1665,Saint Louis Park,,Sorenson,55416:55426,1,2,1
2020-06-07 16:40:00, (Uptown),-Bryant Lake Bowl ***** Lyn Lake,1.0,620.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-bryant-lake-bowl-lyn-lake/7137649912.html,950,Golden Valley,,Golden Valley,55416,1,4,3
2020-06-07 16:35:00, (Minneapolis),"Hi! I am that apartment you keep looking for, Your search is over!",1.0,500.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-hi-am-that-apartment-you/7124808890.html,1059,Minneapolis,,Loring Park,55403,1,2,3
2020-06-07 16:26:00, (Plymouth),"Spacious 2 Bed, 2 Bath. 1376 SqFt! Wonderful community! Visit today!",2.0,1376.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-spacious-2-bed-2-bath-1376/7137642577.html,1706,Plymouth,,Plymouth,55446,1,2,1
2020-06-07 16:23:00, (Birchwood Neighborhood),"***PET FRIENDLY!  CLEAN HOME, AWESOME NEIGHBORHOOD!  SUPER CONVENIENT!",2.0,1631.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-pet-friendly-clean-home/7126126508.html,2095,Saint Louis Park,,Fern Hill,55416,6,3,1
2020-06-07 16:14:00," (Northeast Minneapolis, MN)",You're almost home.....make it Red 20 in NE Minneapolis!,1.0,686.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-youre-almost-homemake-it/7136506873.html,1603,Minneapolis,,St Anthony East,55413,1,2,1
2020-06-07 16:13:00, (Northwest Bloomington),Put this 2 Bedroom on your to-see list! You'll be glad you did!,2.0,1115.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-put-this-2-bedroom-on-your/7137635447.html,1745,Bloomington,,Bloomington,55437,1,2,1
2020-06-07 15:59:00, (Edina Place on York),Condo by Centennial Lakes,1.0,900.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-condo-by-centennial-lakes/7137627466.html,1095,Edina,Edina,Edinborough,55435,2,2,4
2020-06-07 15:44:00," (Minneapolis, MN)","Beautiful 2 Beds & 1 Baths 1,316 sqft",2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-beautiful-2-beds-1-baths/7137581526.html,875,Minneapolis,,Victory,55412,1,,
2020-06-07 15:44:00," (Minneapolis, MN)","4th floor Lindsay Lofts 2BR Plus Den, 2BA condo",2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-4th-floor-lindsay-lofts-2br/7137576335.html,750,Minneapolis,,St Anthony West,55401,1,,
2020-06-07 15:42:00," (269 Oxford St N, St Paul)","Quiet, 2BR in small secure building",2.0,900.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-quiet-2br-in-small-secure/7137617979.html,1275,St. Paul,,Rondo,55104,1,5,4
2020-06-07 15:37:00, (1425 Victoria Way - C421),"2 Bedroom 2 Bath Apartment with W/D in Unit, Pool, and Heated Garage!",2.0,1000.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-2-bedroom-2-bath-apartment/7137578374.html,1814,St. Paul,,St. Paul,55102,1,4,1
