posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-07-08 13:04:00," (Uptown, Minneapolis)",***Rare 3bed/2bath***ALL Utilities Included!!!***,3.0,1600.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-rare-3bed-2bathall/7142062585.html,1795,Minneapolis,,Lowry Hill East,55408,1,,3
2020-07-08 13:04:00, (5200 Nicollet Ave South),Remodeled 1 bed - Available Immediately - Private Laundry!,1.0,625.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-remodeled-1-bed-available/7154252760.html,900,Minneapolis,,Tangletown,55419,1,4,1
2020-07-08 13:04:00, (Saint Anthony Village),"Public Transportation, Patio Sitting Area, Outdoor Pool",1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-public-transportation-patio/7148886672.html,1345,Hilltop,,Hilltop,55421,1,3,3
2020-07-08 13:03:00, (Mahtomedi),Nice place in Mahtomedi-$1300,3.0,1100.0,https://minneapolis.craigslist.org/wsh/apa/d/willernie-nice-place-in-mahtomedi-1300/7146539845.html,1300,Pine Springs,,Pine Springs,55115,1,2,3
2020-07-08 12:59:00, (Minneapolis),More pics to come! 1 bedroom near the Lakes- Free Heat!,1.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-more-pics-to-come-1-bedroom/7155714850.html,1075,Minneapolis,,Cedar-Isles-Dean,55416,1,,3
2020-07-08 12:59:00, (Minneapolis - Loring Park),Spacious 2 Bedroom Apt at BRAND-NEW 1500 Nicollet Community!,2.0,1123.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-spacious-2-bedroom-apt-at/7155714349.html,1814,Minneapolis,,Loring Park,55403,1,2,1
2020-07-08 12:58:00, (NorthEast Minneapolis),Heart of NorthEast 2 Bed / 1 BA,2.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-heart-of-northeast-2-bed-1/7143589994.html,1300,Minneapolis,,Windom Park,55418,4,4,4
2020-07-08 12:52:00, (Downtown Minneapolis),"Live in the hippest, newest building downtown!!",2.0,1000.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-live-in-the-hippest-newest/7155709319.html,1995,Minneapolis,,Sumner-Glenwood,55403,1,,1
2020-07-08 12:51:00, (Minneapolis (Wenonah)),Convenient 2 bedroom apartments,2.0,700.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-convenient-2-bedroom/7152931680.html,1095,Minneapolis,,Wenonah,55417,1,4,3
2020-07-08 12:51:00, (Minneapolis),Sunny 3 bedroom Apt by U of M - Sept,3.0,1000.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-sunny-3-bedroom-apt-by-of/7153247432.html,1500,Minneapolis,,Beltrami,55414,1,4,3
