posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-08-07 16:39:00, (St. Paul),1 Bedroom in Charming Highland Park - Norfolk Place,1.0,600.0,https://minneapolis.craigslist.org/ram/apa/d/mendota-1-bedroom-in-charming-highland/7166894094.html,935,St. Paul,,St. Paul,55116,1,3,3
2020-08-07 16:39:00," (2046 Iglehart Ave., St. Paul)",1 Bedroom one block off of Cleveland & Marshall!,1.0,590.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-1-bedroom-one-block-off-of/7166892049.html,1060,St. Paul,,St. Paul,5514,1,4,4
2020-08-07 16:38:00," (Uptown, Minneapolis)",Huge 1 bedroom plus den in Uptown and blocks from the Lakes- $200 Off,1.0,790.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-huge-1-bedroom-plus-den-in/7162753529.html,1295,Minneapolis,,East Isles,55408,1,7,3
2020-08-07 16:38:00," (1688 Sherburne Ave, St. Paul)",Updated 2 BR in Hamline-Midway! Adj. to the New Light Rail,2.0,708.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-updated-2-br-in-hamline/7159131727.html,1195,St. Paul,,Hamline-Midway,55104,1,4,3
2020-08-07 16:38:00, (Minneapolis),Newly Updated 1 BR on the West Bank of the U of M- Riverside Flats,1.0,640.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-newly-updated-1-br-on-the/7162049137.html,1145,Minneapolis,,Marcy-Holmes,55455-0500,1,2,3
2020-08-07 16:38:00," (2312 1st Ave S, Minneapolis)",Remodeled 2br near MPLS Institute of Arts in South MPLS! - First Place,2.0,755.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-remodeled-2br-near-mpls/7156489885.html,1220,Minneapolis,,Stevens Square - Loring Heights,55404,1,4,3
2020-08-07 16:37:00, (451 Fairview Ave N),Amazing Location in Midway/Merriam Park Neighborhood of St. Paul!,1.0,570.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-amazing-location-in-midway/7168225819.html,999,St. Paul,,St. Paul,55104,1,5,4
2020-08-07 16:37:00," (2719 W. 43rd Street, Minneapolis)",1 Bedroom just 1 Block from Lake Harriet!- Linden Hills,1.0,590.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-just-1-block-from/7170644095.html,995,Minneapolis,,Linden Hills,55410,1,4,3
2020-08-07 16:37:00, (Roseville - St. Anthony),Two Bedroom in Roseville/St. Anthony Area!,2.0,785.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-two-bedroom-in-roseville-st/7170910879.html,1165,St. Anthony,,St. Anthony,55108:55113,1,4,3
2020-08-07 16:29:00, (Uptown),Roomy Uptown Remodel -for September-VIDEO TOUR NOW! - 2509 Dupont Ave,1.0,,https://minneapolis.craigslist.org/hnp/apa/d/roomy-uptown-remodel-for-september/7173328377.html,975,Minneapolis,,Lowry Hill East,55405,1,4,3
