posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-10-08 15:19:00, (ECCO),Uptown charmer steps to lake! All hardwood. Screened porch. Video tour,2.0,1100.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-uptown-charmer-steps-to/7205844148.html,1425,Minneapolis,,East Calhoun,55408,1,5,3
2020-10-08 15:18:00, (St. Paul),Brand New 62+ Senior Community with W/D! 2 Bedroom Apt Available!,2.0,838.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-brand-new-62-senior/7210532082.html,1306,Minneapolis,,Prospect Park - East River Road,6655114,1,2,1
2020-10-08 15:13:00," (Como, Marcy Holmes, Northeast, Dinkytown)",LARGE 2 Bdrm 1 Bath near U of M,2.0,1150.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-large-2-bdrm-1-bath-near-of/7210535676.html,1345,Minneapolis,,Beltrami,55414,4,,3
2020-10-08 15:06:00, (minneapolis),LOVELY TWO-BEDROOM,2.0,1540.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-lovely-two-bedroom/7210520310.html,900,Minneapolis,,Linden Hills,55410,6,3,3
2020-10-08 15:00:00, (Uptown Minneapolis),Spacious 1BR Available November 1st!!! Great Uptown Location!!!,1.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-spacious-1br-available/7202710396.html,975,Minneapolis,,CARAG,55408,1,4,3
2020-10-08 15:00:00, (minneapolis),Available Now ~ Two Bedroom with Washer n Dryer!,2.0,1540.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-available-now-two-bedroom/7210516190.html,900,Minneapolis,,Linden Hills,55410,6,3,3
2020-10-08 14:56:00, (NOPE!🔊No App Fee!! 1407 West Broadway North),💥MOVE NOW or Soon!! Choose this 3 bedroom Mainstreet Loft,3.0,1500.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-move-now-or-soon-choose/7209131133.html,1595,Minneapolis,,Near-North,55411,8,4,
2020-10-08 14:55:00, (3816 Nicollet Ave S),1-bedroom apartment available on Nicollet,1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-apartment/7210523603.html,825,Minneapolis,,Lyndale,55409,1,4,4
2020-10-08 14:53:00, (Como Park),First Floor 1BR - 750sq ft 11/1,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-first-floor-1br-750sq-ft-11-1/7194291729.html,1079,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-10-08 14:51:00, (Saint Paul),Spacious 3 BR 2.5 BA Two-Level Home! W/D in Unit & Free Parking!,3.0,1795.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-spacious-3-br-25-ba-two/7210516934.html,2385,St. Paul,,Prospect Park - East River Road,55114,1,2,1
2020-10-08 14:47:00, (Como Park),Spacious 1BR Available 11/1,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-spacious-1br-available-11-1/7194250344.html,1134,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-10-08 14:45:00, (Como Park),LARGE 1BR - $100 off of your deposit,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-large-1br-off-of-your-deposit/7194255902.html,1089,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-10-08 14:45:00, (Como Park),Warm up in the hot tub! 1 bed 1 bath 750 sq ft,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-warm-up-in-the-hot-tub-1-bed/7194270803.html,1099,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-10-08 14:45:00, (Como Park),Indoor Pool & Hot tub - 1BR Available 11/1,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-indoor-pool-hot-tub-1br/7194281340.html,1109,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-10-08 14:42:00, (Saint Louis Park),"Pets are family at Siena Apartment Homes! 1 bath, 1 bed! Visit us toda",1.0,715.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-pets-are-family-at-siena/7210515318.html,1540,Saint Louis Park,,Willow Park,55426,1,2,1
2020-10-08 14:39:00, (East Downtown),One Bedroom with Private Entry and Patio in Downtown!,1.0,800.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-one-bedroom-with-private/7210504788.html,1495,Minneapolis,,Marcy-Holmes,55415,1,2,1
2020-10-08 14:38:00, (Saint Paul),Beautiful 1-Bedroom on Cathedral Hill,1.0,,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-beautiful-1-bedroom-on/7210512223.html,1099,St. Paul,,Rondo,55102,1,4,4
2020-10-08 14:37:00, (Minneapolis),Falls Pinnacle 2 Bedroom Condo - Views - One Heated Spot Included...,2.0,1271.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-falls-pinnacle-2-bedroom/7210511803.html,2450,Minneapolis,,Logan Park,55413,2,2,3
2020-10-08 14:36:00, (Golden Valley),"Outdoor Action Center, Ceiling Fan, Platinum Service (TM)",2.0,780.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-outdoor-action-center/7210510887.html,1505,Golden Valley,Golden Valley,Golden Valley,554422,1,4,4
2020-10-08 14:31:00, (Minneapolis),Walk Up style 2X2,2.0,884.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-walk-up-style-2x2/7210507806.html,1865,Minneapolis,,Marcy-Holmes,55454,1,2,1
2020-10-08 14:29:00, (St. Louis Park),Unique 2 Bedroom #00-307 - Available with Lease Specials,2.0,1000.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-unique-2-bedroom-available/7210506720.html,1366,Saint Louis Park,,Triangle,55416,1,4,3
2020-10-08 14:29:00, (Richfield),1 bedroom apartments,1.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-apartments/7209283465.html,1007,Richfield,Richfield,Diamond Lake,55423,1,,
2020-10-08 14:25:00, (Highland Park),WELCOME HOME!,2.0,995.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-welcome-home/7210503898.html,1395,St. Paul,,Highland Village,55116,1,2,3
2020-10-08 14:24:00, (Minneapolis),"""Noble""",1.0,608.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-noble/7210436696.html,1397,Minneapolis,,Lowry Hill East,55405,1,,1
2020-10-08 14:22:00, (Minneapolis),"""Grand""",1.0,651.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-grand/7210443540.html,1600,Minneapolis,,Lowry Hill East,55405,1,,1
2020-10-08 14:20:00, (Minneapolis),"""Legend""",1.0,638.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-legend/7210441541.html,1515,Minneapolis,,Lowry Hill East,55405,1,,1
2020-10-08 14:19:00, (Minneapolis),Must See 12th Floor Loft at Midtown Exchange Building w/ Amazing View,1.0,1010.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-must-see-12th-floor-loft-at/7210500067.html,1595,Minneapolis,,Phillips West,55407,8,2,1
