posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-07-22 14:12:00, (Saint Louis Park),High end urban living in Saint Louis Park! 747 Sq Ft 1 Bed / 1 Bath!,1.0,747.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-high-end-urban-living-in/7164041877.html,1605,Saint Louis Park,,Willow Park,55426,1,2,1
2020-07-22 14:09:00, (Minneapolis),"Don't wait! This spacious 1 bed, 1 bath will go fast! 786 Sq Ft!",1.0,841.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-dont-wait-this-spacious-1/7164039521.html,1927,Minneapolis,,East Calhoun,55408,1,2,1
2020-07-22 14:07:00," (Northeast Minneapolis, MN)",Need to move now? Quick easy move in with Special!!!,1.0,528.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-need-to-move-now-quick-easy/7149517891.html,1317,Minneapolis,,St Anthony East,55413,1,2,1
2020-07-22 14:06:00, (Minneapolis),"Controlled Entry Access Into Building, Loft Living At Its Finest!",1.0,574.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-controlled-entry-access/7163985963.html,1123,Minneapolis,,CARAG,55408,1,4,1
2020-07-22 14:06:00," (Minneapolis, Uptown, West Calhoun)",Luxury 1 Br Apartment ** 2ND MONTH OF RENT IS FREE**,1.0,703.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-luxury-1-br-apartment-2nd/7164037292.html,1534,Minneapolis,,West Calhoun,55416,1,2,1
2020-07-22 13:54:00, (Minneapolis),2 Br 2 Ba Apartment ** 2nd Month of Rent Free**,2.0,985.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2-br-2-ba-apartment-2nd/7164028696.html,1660,Minneapolis,,West Calhoun,55416,1,2,3
2020-07-22 13:51:00, (Minneapolis),"1BR Plus, Near LT RAIL Sta., Renovated School House",1.0,775.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1br-plus-near-lt-rail-sta/7159322486.html,1050,Minneapolis,,Howe,55406,1,4,3
2020-07-22 13:46:00, (Sheridan Ave),✔️✔️  Available 2BR & 2BA Home🏡,2.0,1320.0,https://minneapolis.craigslist.org/ank/apa/d/minneapolis-available-2br-2ba-home/7158103652.html,650,Minneapolis,,Victory,55412,6,3,2
2020-07-22 13:46:00, (Russell Ave),House For Rent  2 bed & 1 bath,2.0,1068.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-house-for-rent-2-bed-1-bath/7158103618.html,600,Minneapolis,,Near-North,55411,6,3,2
2020-07-22 13:46:00, (Chicago Ave),🌞Dream Home ♥ Best Home ♥ Lovely Home🌞,3.0,1563.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-dream-home-best-home-lovely/7158103590.html,750,Minneapolis,,Powderhorn Park,55407,6,3,2
2020-07-22 13:46:00, (Chicago Ave),Looking for Your Dream Home??,3.0,1563.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-looking-for-your-dream-home/7153489583.html,750,Minneapolis,,Powderhorn Park,55407,6,3,2
2020-07-22 13:46:00, (Sheridan Ave),~~ PERFECT~~ MOVE IN READY ❓❓❓,2.0,1320.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-perfect-move-in-ready/7153489616.html,650,Minneapolis,,Victory,55412,6,3,2
2020-07-22 13:46:00, (Uptown),"Modern 2BR/2BA in Heart of Uptown - receive $3,000.00 Rent Credit!",2.0,810.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-modern-2br-2ba-in-heart-of/7164022495.html,2275,Minneapolis,,East Calhoun,55408,1,2,1
2020-07-22 13:45:00, (46th Ave),✔️Available 2BR & 1BA Home,2.0,1020.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-available-2br-1ba-home/7147023652.html,750,Minneapolis,,Howe,55406,6,3,2
2020-07-22 13:45:00, (Stevens Ave),~~ PERFECT~~ MOVE IN READY ❓❓❓,2.0,2473.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-perfect-move-in-ready/7147023568.html,1050,Minneapolis,,Phillips West,55404,6,3,2
2020-07-22 13:44:00, (North Loop),MOVE IN AUGUST! UP TO 6 WEEKS FREE! Top Floor 1BR Oasis!,1.0,684.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-move-in-august-up-to-6/7164021391.html,1895,Minneapolis,,St Anthony West,55401,1,2,1
2020-07-22 13:43:00, (St. Anthony),Unrivaled Luxury In the Right Location. The Landings At Silver Lake!,2.0,1166.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-unrivaled-luxury-in-the/7164009679.html,1808,St. Anthony,,St. Anthony,,1,2,1
2020-07-22 13:42:00, (Lake Bde Maka Ska / Uptown),Brand NEW Building!  Opening Sept 2020 - Model now open!,1.0,682.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-brand-new-building-opening/7164019429.html,1445,Saint Louis Park,,West Calhoun,55416,1,3,1
2020-07-22 13:41:00, (Kingfields),Renovated Kingfields Apartment with $300 off 1st month rent,1.0,550.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-renovated-kingfields/7164019016.html,1045,Minneapolis,,Kingfield,55409,1,5,4
2020-07-22 13:40:00, (Minneapolis),1 MONTH FREE - Locally Owned & Managed Community,1.0,780.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-month-free-locally-owned/7164018628.html,2350,Minneapolis,,St Anthony West,55401,1,2,1
2020-07-22 13:38:00, (561 Van Buren Ave St Paul MN),All utilities are included in the rent. 1BDR/1BA in St Paul,1.0,800.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-all-utilities-are-included/7164017010.html,850,St. Paul,,St. Paul,55103,1,5,4
2020-07-22 13:37:00, (Saint Anthony Village),"Patio or Balcony, Garbage Disposal, Laminate Wood Flooring",1.0,700.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-patio-or-balcony-garbage/7154447176.html,1190,Hilltop,,Hilltop,55421,1,3,3
2020-07-22 13:37:00, (East Harriet Minneapolis),East Harriet Upper level duplex natural light Sept 1st,2.0,1525.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-east-harriet-upper-level/7164015734.html,1850,Minneapolis,,East Harriet,55419,2,4,3
2020-07-22 13:35:00," (LynLake, Uptown)",1 bedroom in Fourplex w/Hardwood Floors close to EVERYTHING!,1.0,700.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-in-fourplex/7161119484.html,1025,Minneapolis,,Lowry Hill East,55405,1,,3
2020-07-22 13:33:00," (North Loop/Downtown, Minneapolis)","+1st Month FREE!! Hardwood Floors, Custom Upgrades, Yoga Studio!",1.0,850.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1st-month-free-hardwood/7162070237.html,1690,Minneapolis,,St Anthony West,55401,1,2,1
2020-07-22 13:32:00, (MINNEAPOLIS),Luxury 1 bedroom apartment with lake views from balcony! 1 month free!,1.0,733.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-luxury-1-bedroom-apartment/7163986834.html,1680,Saint Louis Park,,Fern Hill,55416,1,4,1
2020-07-22 13:32:00, (Roseville),Recently updated 1-bedroom apartment with private patio,1.0,,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-recently-updated-1-bedroom/7155194393.html,1059,Roseville,,Roseville,55113,1,4,3
2020-07-22 13:32:00, (St. Paul),Two-bedroom apartment located in St. Paul’s Crocus Hill,2.0,,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-two-bedroom-apartment/7155132690.html,1499,St. Paul,,St. Paul,55102,1,5,3
2020-07-22 13:32:00, (Saint Paul),Spacious 1-Bedroom with updated appliances and cabinets,1.0,,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-spacious-1-bedroom-with/7147132309.html,1159,St. Paul,,St. Paul,55104,1,5,3
2020-07-22 13:26:00, (26 West 22nd Street),Eat Street  1BR Apartment for September 1,1.0,588.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-eat-street-1br-apartment/7162702263.html,930,Minneapolis,,Whittier,55405,1,2,3
