posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-08-08 12:29:00, (Loring Park),2 bedroom with balcony,2.0,1045.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2-bedroom-with-balcony/7173755276.html,2125,Minneapolis,,Loring Park,55403,1,2,1
2020-08-08 12:29:00, (Minneapolis),Downtown East Apartment (Ironclad) - Free August Rent!,1.0,604.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-downtown-east-apartment/7169096463.html,1750,Minneapolis,,Marcy-Holmes,55415:55454,1,2,1
2020-08-08 12:23:00," (St Paul, Highland, Macalester-Groveland, Highland Park)","Professionally Managed, Soaking Tub, Clubroom",2.0,1368.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-professionally-managed/7173750445.html,4380,St. Paul,,Highland Village,55116,1,2,1
2020-08-08 12:10:00," (St Paul, Highland, Macalester-Groveland, Highland Park)","Convenient Location, Built In Gas Grill, Soaking Tub",2.0,1368.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-convenient-location-built-in/7173740509.html,4380,St. Paul,,Highland Village,55116,1,2,1
2020-08-08 12:07:00, (Minneapolis),Oct Free! Luxury 2 Bedroom 2 Baths Only $2170  @ The Murals Of LynLake,2.0,1395.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-oct-free-luxury-2-bedroom-2/7168064756.html,2170,Minneapolis,,Lyndale,55408,1,2,1
2020-08-08 12:07:00, (Minneapolis),"October, 5th Luxury 2 Bedroom 2 Bath @ The Murals Of LynLake",2.0,1395.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-october-5th-luxury-2/7163429559.html,2270,Minneapolis,,Lyndale,55408,1,2,1
2020-08-08 12:06:00," (St Paul, Highland, Macalester-Groveland, Highland Park)","Contemporary Design, Stainless Steel Appliances, Quartz Countertops",1.0,804.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-contemporary-design/7173734978.html,1963,St. Paul,,Highland Village,55116,1,2,1
2020-08-08 12:06:00, (Minneapolis),"Two Bedroom two bath, Oct 1st  Free! @ The Murals Of LynLake",2.0,1395.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-two-bedroom-two-bath-oct/7167621690.html,2270,Minneapolis,,Lowry Hill East,55419,1,2,1
2020-08-08 12:05:00," (St Paul, Highland, Macalester-Groveland, Highland Park)","Perfect Location, Wine Rack Option, Coffee Bar",1.0,804.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-perfect-location-wine-rack/7173737310.html,1963,St. Paul,,Highland Village,55116,1,2,1
2020-08-08 12:00:00," (St Paul, Highland, Macalester-Groveland, Highland Park)","Designer Fixtures, Quartz Countertops, Wine Rack Option",1.0,804.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-designer-fixtures-quartz/7173733397.html,1963,St. Paul,,Highland Village,55116,1,2,1
2020-08-08 11:58:00, (517 Asbury St.),Beautiful Brownstone 2BR near Hamline University in Midway 8/15 or 9/1,2.0,700.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-beautiful-brownstone-2br/7173731943.html,995,St. Paul,,Hamline-Midway,55104,1,,
2020-08-08 11:57:00, (Marcy Holmes),"Common area WiFi, Elevator, Washer/Dryer In Unit",1.0,552.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-common-area-wifi-elevator/7165349674.html,1395,Minneapolis,,Marcy-Holmes,55414,1,4,1
2020-08-08 11:54:00," (Minneapolis, MN)","5400 Morgan Avenue S, Beautiful cape code style home For Rent to own.",4.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-5400-morgan-avenue/7173681004.html,1000,Minneapolis,,Windom,55419,1,,
2020-08-08 11:53:00, (Midway),Beautiful Midway 2BR Brownstone by Hamline univ. avail 8/15 or 9/1,2.0,840.0,https://minneapolis.craigslist.org/ram/apa/d/beautiful-midway-2br-brownstone-by/7173728479.html,1095,St. Paul,,Hamline-Midway,55104,1,,
2020-08-08 11:50:00, (Cathedral Hill Neighborhood),Classic Condo in historic Tazewell Building,1.0,510.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-classic-condo-in-historic/7173726370.html,990,St. Paul,,St. Paul,55102,2,,3
2020-08-08 11:50:00, (Midway),Beautiful Midway 2BR Brownstone by Hamline univ. avail  8/15 or 9/1,2.0,840.0,https://minneapolis.craigslist.org/ram/apa/d/beautiful-midway-2br-brownstone-by/7173725877.html,1150,St. Paul,,Hamline-Midway,55104,1,,
2020-08-08 11:49:00, (Midway),Beautiful Midway 2BR Brownstone by Hamline univ. avail 8/15,2.0,840.0,https://minneapolis.craigslist.org/ram/apa/d/beautiful-midway-2br-brownstone-by/7173725054.html,1150,St. Paul,,Hamline-Midway,55104,1,,
2020-08-08 11:43:00, (St. Paul),Spacious 1 bed avail 9/1 Spot included in underground garage!!,1.0,687.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-spacious-1-bed-avail-9-1/7173672170.html,1245,St. Paul,,St. Paul,55116,1,2,3
2020-08-08 11:30:00, (Minneapolis  MN),Huge 2 bedroom in smaller bldg/*-/,2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-huge-2-bedroom-in-smaller/7166131583.html,700,Minneapolis,,Logan Park,55413,1,,
2020-08-08 11:30:00, (Minneapolis  MN),"Luxury 2 bdr, 1 ba Apt includes parking!!@!!",2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-luxury-2-bdr-1-ba-apt/7166131543.html,618,Minneapolis,,Logan Park,55413,1,,
2020-08-08 11:30:00, (minneapolis),Large 2 Bedroom 2 Bathroom on a Shuttle!!!,2.0,,https://minneapolis.craigslist.org/hnp/apa/d/saint-paul-large-2-bedroom-2-bathroom/7161423072.html,760,,,,55111,1,,
2020-08-08 11:29:00, (minneapolis),Newly Remodeled 3BR/2BA Is Available For Rent!!,3.0,,https://minneapolis.craigslist.org/hnp/apa/d/saint-paul-newly-remodeled-3br-2ba-is/7161423119.html,930,,,,55111,6,,
2020-08-08 11:29:00, (Minneapolis  MN),1 BEDROOM Apartment available now,1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-apartment/7163921692.html,675,Hilltop,,Hilltop,55421,1,,
2020-08-08 11:28:00, (Richfield / Minneapolis),"Individual garages available, Window coverings on all windows, Gazebo",1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-individual-garages/7173697178.html,1110,Richfield,Richfield,Diamond Lake,55423,1,4,3
2020-08-08 11:27:00, (Minneapolis),Almost half Price 1st month! Amazing 6 Bedroom 2 B.A.T.H.R.O.O.M in,3.0,,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-almost-half-price-1st-month/7160473192.html,583,Robbinsdale,Robbinsdale,Robbinsdale,55422,1,2,
2020-08-08 11:27:00, (Minneapolis  MN),Spacious 2 bedroom with large walk-in closets!!,2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-spacious-2-bedroom-with/7157968583.html,630,Minneapolis,,Audubon Park,55418,1,,
2020-08-08 11:14:00, (Saint Anthony Village),Renovated 2 bedroom with new laminate wood flooring available now!,2.0,950.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-renovated-2-bedroom-with/7173698923.html,1395,Hilltop,,Hilltop,55421,1,3,3
