posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-09 15:05:00, (Minneapolis),Luxury At It's Finest,1.0,740.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-luxury-at-its-finest/7137577089.html,1380,Minneapolis,,St Anthony West,55401,1,,
2020-06-09 15:04:00, (Saint Paul),Spacious&bright 3 bedroom/1 bath unit !!,3.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-spaciousbright-3-bedroom-1/7138744192.html,980,Minneapolis,,Prospect Park - East River Road,55455,1,,
2020-06-09 15:02:00," (Minneapolis, MN)",%#% SUPER CLEAN & BEAUTIFUL OPEN HOUSE FOR RENT %#%,3.0,1910.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-super-clean-beautiful-open/7129177753.html,507,Minneapolis,,Howe,55406,6,2,1
2020-06-09 15:02:00," (Minneapolis, MN)",%#% SUPER CLEAN & BEAUTIFUL OPEN HOUSE FOR RENT %#%,3.0,1911.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-super-clean-beautiful-open/7129175541.html,519,Minneapolis,,Powderhorn Park,55407,6,2,1
2020-06-09 15:02:00, (Northeast Minneapolis),NEW DECK + Washer/ Dryer in Unit! 2BD/1BA!! JUNE 1st!,2.0,950.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-new-deck-washer-dryer-in/7129911066.html,1600,Minneapolis,,Holland,55418,1,4,1
2020-06-09 15:02:00, (Northeast Minneapolis),The  Best Deck In NE Mpls,2.0,950.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-the-best-deck-in-ne-mpls/7136636439.html,1600,Minneapolis,,Holland,55418,1,4,1
2020-06-09 14:59:00, (Eden Prairie),$99+ Deposits! Virtual and Self-Guided Tours Available!,2.0,1265.0,https://minneapolis.craigslist.org/hnp/apa/d/eden-prairie-99-deposits-virtual-and/7134786902.html,1510,Eden Prairie,,Eden Prairie,55347,1,4,3
2020-06-09 14:58:00, (Southwind Village),"Townhome-Style Apartment with W/D In-Unit, 2 Pools, Close to Shopping",2.0,1000.0,https://minneapolis.craigslist.org/dak/apa/d/burnsville-townhome-style-apartment/7135338166.html,1325,Burnsville,,Burnsville,55306,1,2,1
2020-06-09 14:57:00, (Wayzata),Rent a great 2 bed / 2 bath! Plymouth Square is waiting for you!,2.0,1003.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-rent-great-2-bed-2-bath/7138801359.html,1485,Plymouth,,Plymouth,55446,1,4,1
2020-06-09 14:56:00, (Southwind Village),"Checks Every Box! Beautiful Granite, W/D In-Unit, 2 Pools, 24/7 Gym",2.0,1200.0,https://minneapolis.craigslist.org/dak/apa/d/burnsville-checks-every-box-beautiful/7138793970.html,1599,Burnsville,,Burnsville,55306,1,2,1
2020-06-09 14:55:00, (St. Paul),Looking for a new home? Call today!,1.0,800.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-looking-for-new-home-call/7138808082.html,989,Maplewood,,Maplewood,55119,1,4,3
2020-06-09 14:54:00," (Edina, MN)","Solar roller shades, Onsite management & maintenance, Closet shelving",2.0,1189.0,https://minneapolis.craigslist.org/hnp/apa/d/hopkins-solar-roller-shades-onsite/7136424619.html,2054,Edina,Edina,Bredesen Park,55436,1,,1
2020-06-09 14:53:00, (St. Louis Park),"Visit Your New Home, Extra Storage, Biking and Running Paths for MILES",3.0,1307.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-visit-your-new-home-extra/7138807004.html,2025,Saint Louis Park,,Minnehaha,8344,1,,1
