posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-07-21 12:11:00, (Lake of the Isles Kenwood Uptown),Sunny Quiet Safe 3 bed 2 bath Kenwood Uptown Lake Isles,3.0,2400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-sunny-quiet-safe-3-bed-2/7160454751.html,2700,Minneapolis,,East Isles,55405,6,3,3
2020-07-21 12:10:00, (Minneapolis),ENORMOUS 3 Bed LAUNDRY Must see WILL NOT LAST,2.0,,https://minneapolis.craigslist.org/csw/apa/d/minneapolis-enormous-3-bed-laundry-must/7163288799.html,607,Minneapolis,,Marcy-Holmes,55415,6,2,
2020-07-21 11:59:00, (New Brighton),SPACIOUS 2 BEDROOM AVAILABLE NOW,2.0,950.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-spacious-2-bedroom-available/7159937217.html,1050,Roseville,,Roseville,55126,1,4,3
2020-07-21 11:58:00, (Stevens Square),"Sunny Hardwood Corner 1BR in Stevens Square, Walk Downtown, Pets OK!",1.0,480.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-sunny-hardwood-corner-1br/7155061040.html,925,Minneapolis,,Stevens Square - Loring Heights,55403,1,5,3
2020-07-21 11:56:00, (Robbinsdale),"Open Now, Fitness Center, Pets Welcome",1.0,671.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-open-now-fitness-center/7163332936.html,1470,Robbinsdale,Robbinsdale,Robbinsdale,55428,1,,1
2020-07-21 11:55:00, (St Louis Park),Apartment for rent,2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-apartment-for-rent/7163332569.html,1050,Saint Louis Park,,Willow Park,55426,1,5,3
2020-07-21 11:55:00, (St. Anthony),"Beautiful 2 bedroom apartment, Near Como park!",2.0,1000.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-beautiful-2-bedroom/7163332209.html,1575,Falcon Heights,,Falcon Heights,55108,1,4,3
2020-07-21 11:52:00, (Richfield / Minneapolis),"Centrally located in a peaceful environment, Close to public transport",1.0,675.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-centrally-located-in/7163292848.html,1020,Richfield,Richfield,Diamond Lake,55423,1,3,3
2020-07-21 11:51:00, (Minneapolis),Call And Set Up A Tour! Como NeighCaborhood 3Bdr/ 2Bath September 1st!,3.0,1920.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-call-and-set-up-tour-como/7163329879.html,1835,Minneapolis,,Beltrami,55414-2475,1,4,1
2020-07-21 11:47:00, (South Minneapolis),Renovated Modern 2 BR with W/D and Underground Parking,2.0,1080.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-renovated-modern-2-br-with/7158258827.html,1650,Minneapolis,,Lyndale,55420,2,2,1
