posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-09-04 07:39:00, (Longfellow),Nice 2 BR in Quiet 6 Unit Building,2.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-nice-2-br-in-quiet-6-unit/7188738735.html,1050,Minneapolis,,Howe,55406,1,4,3
2020-09-04 07:11:00, (Minneapolis),3 large  bedrooms/  new kitchen and appliances,3.0,1400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-3-large-bedrooms-new/7190001982.html,1850,Minneapolis,,Kingfield,55409,1,3,4
2020-09-04 06:51:00, (Minneapolis),Newly repaired 3-4 Bed Home ! Bad credit OK!,3.0,,https://minneapolis.craigslist.org/ank/apa/d/minneapolis-newly-repaired-3-4-bed-home/7183246724.html,619,Edina,Edina,Edina,55326,1,,
2020-09-04 06:13:00, (University Como - SE Minneapolis - University of Minnesota),University Como HUGE 4BR/2BA SF HOUSE 3levels parking LARGE BRS 10/1,4.0,1700.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-university-como-huge-4br/7189987203.html,1700,Minneapolis,,Minneapolis,55406,,,
2020-09-04 06:11:00, (Minneapolis),BEST LEASE VALUE,4.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-best-lease-value/7184607706.html,639,Minneapolis,,Victory,55412,1,2,
2020-09-04 05:51:00, (Saint Anthony Village),Wonderful fully renovated 1 bedroom apartment! Available 9/9,1.0,700.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-wonderful-fully-renovated-1/7188444781.html,1190,Hilltop,,Hilltop,55421,1,3,3
2020-09-04 05:31:00, (Fillmore St NE Minneapolis),$1575! 4BR NE MPLS whole SF HOUSE w/AC bigYard parking-NO APP FEE 10/1,4.0,1400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-br-ne-mpls-whole-sf-house/7189979755.html,1575,Minneapolis,,Beltrami,55413,,,
2020-09-04 05:09:00, (Northeast),Northeast MPLS - Luxury Townhome!,2.0,2295.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-northeast-mpls-luxury/7177521375.html,2295,Minneapolis,,Logan Park,55413,9,4,1
2020-09-04 04:58:00, (Monroe St NE Minneapolis),$1000 2BR NE Minneapolis upper duplex w/AC HWF parking *NO APP FEE 9/1,2.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-br-ne-minneapolis-upper/7189975374.html,1000,Minneapolis,,Holland,55418,4,4,3
2020-09-04 04:11:00, (Minneapolis),REGISTER RIGHT AWAY NEW SS Appliances CONNECTIONS!,3.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-register-right-away-new-ss/7178910737.html,643,Edina,Edina,Edina,55326,6,,
2020-09-04 04:07:00, (Northeast),3 Bed 2.5 Bath Luxury Town Home November 1st!,3.0,1575.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-3-bed-25-bath-luxury-town/7184739126.html,3150,Minneapolis,,Audubon Park,55418,1,4,1
2020-09-04 03:31:00," (3436 Pleasant Ave. S., Minneapolis)",10' ceilings/8' Fr doors/8' windows and buffet/1st month $245 discount,2.0,1400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-10-ceilings-8-fr-doors-8/7186939770.html,1895,Minneapolis,,Lyndale,55408,4,3,3
2020-09-04 03:08:00, (Minneapolis),BRAND NEW RATES!! CALL US NOW!!!,3.0,,https://minneapolis.craigslist.org/ank/apa/d/minneapolis-brand-new-rates-call-us-now/7175389626.html,588,Minneapolis,,Logan Park,55413,6,,
2020-09-04 02:54:00, (Marcy Holmes),"Luxury 2 Bed/ 2 Full Bath - Premium Finishes, Available 8/14/2020",2.0,1124.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-luxury-2-bed-2-full-bath/7183389934.html,1575,Minneapolis,,Marcy-Holmes,55414,1,4,1
2020-09-04 02:23:00," (2637 Pleasant Ave APT 10, Minneapolis, MN)",Studio close to U of M.,1.0,350.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-studio-close-to-of/7189948834.html,680,Minneapolis,,Lyndale,55408,2,2,3
2020-09-04 01:57:00," (2312 Bryant Ave S, Minneapolis, MN)",Studio in best part of Uptown,1.0,450.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-studio-in-best-part-of/7189947779.html,730,Minneapolis,,Bryn Mawr,55405,2,2,3
2020-09-04 01:54:00," (1212 Powderhorn Ter APT 304, Minneapolis,)",studio apartment for rent.,1.0,460.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-studio-apartment-for-rent/7189949666.html,700,Minneapolis,,Powderhorn Park,55407,2,2,3
2020-09-04 01:23:00, (Minneapolis  Uptown),"Large, very nice 1 bdrm with garage, ht pd, hd wd floors, 2nd floor",1.0,830.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-large-very-nice-1-bdrm-with/7189951568.html,1095,Minneapolis,,East Harriet,55419,1,3,3
2020-09-04 01:14:00," (1465 W 33rd St APT 102, Minneapolis, MN)",Enjoy a classic one bed room apartment for rent.,1.0,420.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-enjoy-classic-one-bed-room/7182577211.html,820,Minneapolis,,Lyndale,55408,2,2,3
2020-09-04 01:14:00," (2536 Lyndale Ave S, Minneapolis, MN)",amazing one bedroom apartment for rent.,1.0,600.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-amazing-one-bedroom/7182583242.html,1050,Minneapolis,,Bryn Mawr,55405,2,2,3
2020-09-04 01:13:00," (2510 Grand Ave S APT 7, Minneapolis, MN)",1 bedroom apartment in uptown available for rent.,1.0,600.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bedroom-apartment-in/7185034915.html,780,Minneapolis,,Bryn Mawr,55405,2,2,3
